"","CommodityCode","LineCode","PCECategory","CommodityDescription","ProducersValue","Transportation Costs","Wholesale","Retail","PurchasersValue","Year","ProducersValuebyCommodityCode","Mapping_ratio"
"213","5412OP","111","Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Miscellaneous professional, scientific, and technical services",5303,"0","0","0","5303","2017",72410,0.0732357409197625
"214","561","73","Ground transportation","Administrative and support services",4439,"0","0","0","4439","2017",64490,0.0688323771127307
"215","561","77","Membership clubs, sports centers, parks, theaters, and museums","Administrative and support services",3645,"0","0","0","3645","2017",64490,0.0565203907582571
"216","561","80","Other recreational services","Administrative and support services",15311,"0","0","0","15311","2017",64490,0.237416653744767
"217","561","97","Telecommunication services","Administrative and support services",68,"0","0","0","68","2017",64490,0.0010544270429524
"218","561","98","Postal and delivery services","Administrative and support services",797,"0","0","0","797","2017",64490,0.0123585051946038
"219","561","104","Professional and other services","Administrative and support services",7736,"0","0","0","7736","2017",64490,0.119956582415878
"220","561","107","Household maintenance","Administrative and support services",32494,"0","0","0","32494","2017",64490,0.503861063730811
"221","562","56","Water supply and sanitation","Waste management and remediation services",28334,"0","0","0","28334","2017",28334,1
"222","61","70","Motor vehicle maintenance and repair","Educational services",136,"0","0","0","136","2017",360205,0.000377562776752127
"223","61","77","Membership clubs, sports centers, parks, theaters, and museums","Educational services",19065,"0","0","0","19065","2017",360205,0.0529281936674949
"224","61","101","Higher education","Educational services",180589,"0","0","0","180589","2017",360205,0.501350619785955
"225","61","102","Nursery, elementary, and secondary schools","Educational services",33551,"0","0","0","33551","2017",360205,0.0931441817853722
"226","61","103","Commercial and vocational schools","Educational services",51065,"0","0","0","51065","2017",360205,0.14176649407976
"227","61","105","Personal care and clothing services","Educational services",20,"0","0","0","20","2017",360205,5.55239377576658e-05
"228","61","111","Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Educational services",75779,"0","0","0","75779","2017",360205,0.210377423966908
"229","621","21","Therapeutic appliances and equipment","Ambulatory health care services",9628,"0","0","0","9628","2017",1050872,0.00916191505720963
"230","621","62","Physician services","Ambulatory health care services",551448,"0","0","0","551448","2017",1050872,0.524752776741601
"231","621","63","Dental services","Ambulatory health care services",129315,"0","0","0","129315","2017",1050872,0.123054948652167
"232","621","64","Paramedical services","Ambulatory health care services",353193,"0","0","0","353193","2017",1050872,0.336095166680623
"233","621","111","Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Ambulatory health care services",7288,"0","0","0","7288","2017",1050872,0.00693519286839882
"234","622","66","Hospitals","Hospitals",1022690,"0","0","0","1022690","2017",1039196,0.984116567038364
"235","622","111","Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Hospitals",16506,"0","0","0","16506","2017",1039196,0.0158834329616357
"236","623","67","Nursing homes","Nursing and residential care facilities",185641,"0","0","0","185641","2017",241619,0.768321199905637
"237","623","106","Social services and religious activities","Nursing and residential care facilities",45541,"0","0","0","45541","2017",241619,0.188482693827886
"238","623","111","Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Nursing and residential care facilities",10437,"0","0","0","10437","2017",241619,0.0431961062664774
"239","624","102","Nursery, elementary, and secondary schools","Social assistance",12236,"0","0","0","12236","2017",225279,0.0543148717812135
"240","624","106","Social services and religious activities","Social assistance",128493,"0","0","0","128493","2017",225279,0.570372737805122
"241","624","111","Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Social assistance",84550,"0","0","0","84550","2017",225279,0.375312390413665
"242","711AS","77","Membership clubs, sports centers, parks, theaters, and museums","Performing arts, spectator sports, museums, and related activities",65409,"0","0","0","65409","2017",86972,0.752069631605574
"243","711AS","79","Gambling","Performing arts, spectator sports, museums, and related activities",3799,"0","0","0","3799","2017",86972,0.0436807248309801
"244","711AS","83","Purchased meals and beverages","Performing arts, spectator sports, museums, and related activities",710,"0","0","0","710","2017",86972,0.00816354688865382
"245","711AS","111","Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Performing arts, spectator sports, museums, and related activities",17054,"0","0","0","17054","2017",86972,0.196086096674792
"246","713","77","Membership clubs, sports centers, parks, theaters, and museums","Amusements, gambling, and recreation industries",90654,"0","0","0","90654","2017",210212,0.431250356782677
"247","713","79","Gambling","Amusements, gambling, and recreation industries",111858,"0","0","0","111858","2017",210212,0.532119955092954
"248","713","111","Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Amusements, gambling, and recreation industries",7700,"0","0","0","7700","2017",210212,0.0366296881243697
"249","721","54","Group housing","Accommodation",2401,"0","0","0","2401","2017",163294,0.0147035408526951
"250","721","77","Membership clubs, sports centers, parks, theaters, and museums","Accommodation",8115,"0","0","0","8115","2017",163294,0.0496956409910958
"251","721","85","Accommodations","Accommodation",149680,"0","0","0","149680","2017",163294,0.916628902470391
"252","721","97","Telecommunication services","Accommodation",78,"0","0","0","78","2017",163294,0.000477666050191679
