"","CommodityCode","LineCode","PCECategory","CommodityDescription","ProducersValue","Transportation Costs","Wholesale","Retail","PurchasersValue","Year","ProducersValuebyCommodityCode","Mapping_ratio"
"53","322","45","Magazines, newspapers, and stationery","Paper products",742,"31","121","557","1450","2017",22678,0.0327189346503219
"54","323","9","Furniture and furnishings","Printing and related support activities",219,"9","36","311","575","2017",2803,0.0781305743845879
"55","323","17","Recreational books","Printing and related support activities",22,"1","4","8","35","2017",2803,0.00784873349982162
"56","323","41","Recreational items","Printing and related support activities",331,"14","54","502","900","2017",2803,0.118087763110953
"57","323","42","Household supplies","Printing and related support activities",1836,"77","298","4018","6229","2017",2803,0.655012486621477
"58","323","45","Magazines, newspapers, and stationery","Printing and related support activities",389,"16","56","292","754","2017",2803,0.138779878701391
"59","323","104","Professional and other services","Printing and related support activities",6,"0","1","0","7","2017",2803,0.00214056368176953
"60","324","37","Motor vehicle fuels, lubricants, and fluids","Petroleum and coal products",165405,"7912","61511","67584","302413","2017",176321,0.93809018778251
"61","324","38","Fuel oil and other fuels","Petroleum and coal products",10274,"650","2031","6758","19713","2017",176321,0.0582687257898946
"62","324","40","Pharmaceutical and other medical products","Petroleum and coal products",642,"30","65","1322","2059","2017",176321,0.00364108642759512
"63","325","7","Motor vehicles parts and accessories","Chemical products",177,"4","22","113","315","2017",255660,0.000692325745130251
"64","325","12","Tools and equipment for house and garden","Chemical products",2716,"73","546","2127","5463","2017",255660,0.010623484315106
"65","325","15","Sporting equipment, supplies, guns, and ammunition","Chemical products",1183,"33","188","1181","2585","2017",255660,0.00462723930219823
"66","325","27","Food and nonalcoholic beverages purchased for off-premises consumption","Chemical products",556,"18","70","310","954","2017",255660,0.00217476335758429
"67","325","37","Motor vehicle fuels, lubricants, and fluids","Chemical products",50,"1","6","32","89","2017",255660,0.000195572244387077
"68","325","38","Fuel oil and other fuels","Chemical products",323,"12","41","148","524","2017",255660,0.00126339669874051
"69","325","40","Pharmaceutical and other medical products","Chemical products",196683,"3645","75953","156757","433038","2017",255660,0.769314714855668
"70","325","41","Recreational items","Chemical products",851,"20","464","754","2089","2017",255660,0.00332863959946804
"71","325","42","Household supplies","Chemical products",13884,"290","2260","9036","25469","2017",255660,0.0543065008214034
"72","325","43","Personal care products","Chemical products",37607,"756","4739","38240","81341","2017",255660,0.147097707893296
"73","325","45","Magazines, newspapers, and stationery","Chemical products",1630,"46","207","1223","3105","2017",255660,0.0063756551670187
"74","326","7","Motor vehicles parts and accessories","Plastics and rubber products",13930,"310","4619","17119","35978","2017",35009,0.397897683452826
"75","326","9","Furniture and furnishings","Plastics and rubber products",382,"8","163","496","1049","2017",35009,0.0109114799051672
"76","326","10","Household appliances","Plastics and rubber products",39,"1","17","63","120","2017",35009,0.00111399925733383
"77","326","11","Glassware, tableware and household utensils","Plastics and rubber products",14100,"287","2570","1606","18563","2017",35009,0.402753577651461
"78","326","12","Tools and equipment for house and garden","Plastics and rubber products",149,"3","38","335","525","2017",35009,0.00425604844468565
"79","326","16","Sports and recreational vehicles","Plastics and rubber products",981,"22","326","1172","2501","2017",35009,0.028021365934474
"80","326","40","Pharmaceutical and other medical products","Plastics and rubber products",147,"3","87","331","568","2017",35009,0.00419892027764289
"81","326","41","Recreational items","Plastics and rubber products",1454,"30","258","1578","3320","2017",35009,0.0415321774400868
"82","326","42","Household supplies","Plastics and rubber products",3028,"59","578","3745","7410","2017",35009,0.0864920449027393
"83","326","43","Personal care products","Plastics and rubber products",622,"13","240","977","1852","2017",35009,0.0177668599502985
"84","326","45","Magazines, newspapers, and stationery","Plastics and rubber products",177,"4","46","133","360","2017",35009,0.0050558427832843
"85","327","7","Motor vehicles parts and accessories","Nonmetallic mineral products",109,"15","17","136","277","2017",11570,0.0094209161624892
"86","327","9","Furniture and furnishings","Nonmetallic mineral products",1353,"184","402","937","2876","2017",11570,0.116940363007779
"87","327","11","Glassware, tableware and household utensils","Nonmetallic mineral products",6711,"935","2084","2853","12583","2017",11570,0.580034572169404
"88","327","12","Tools and equipment for house and garden","Nonmetallic mineral products",228,"39","50","145","462","2017",11570,0.0197061365600691
"89","327","104","Professional and other services","Nonmetallic mineral products",3169,"428","522","982","5100","2017",11570,0.273898012100259
"90","331","7","Motor vehicles parts and accessories","Primary metals",12,"0","1","14","28","2017",749,0.0160213618157543
"91","331","9","Furniture and furnishings","Primary metals",110,"3","11","406","530","2017",749,0.146862483311081
"92","331","10","Household appliances","Primary metals",53,"2","5","30","90","2017",749,0.0707610146862483
"93","331","11","Glassware, tableware and household utensils","Primary metals",552,"16","55","63","686","2017",749,0.7369826435247
"94","331","12","Tools and equipment for house and garden","Primary metals",14,"0","1","51","66","2017",749,0.0186915887850467
"95","331","15","Sporting equipment, supplies, guns, and ammunition","Primary metals",8,"0","1","8","16","2017",749,0.0106809078771696
"96","332","7","Motor vehicles parts and accessories","Fabricated metal products",653,"19","306","811","1789","2017",16629,0.0392687473690541
"97","332","9","Furniture and furnishings","Fabricated metal products",475,"14","206","1755","2450","2017",16629,0.0285645558963257
"98","332","11","Glassware, tableware and household utensils","Fabricated metal products",3363,"97","955","452","4867","2017",16629,0.202237055745986
"99","332","12","Tools and equipment for house and garden","Fabricated metal products",2044,"59","992","7445","10540","2017",16629,0.122917794214926
"100","332","15","Sporting equipment, supplies, guns, and ammunition","Fabricated metal products",7428,"212","3224","7104","17968","2017",16629,0.446689518311384
"101","332","16","Sports and recreational vehicles","Fabricated metal products",99,"3","52","47","202","2017",16629,0.00595345480786578
"102","332","42","Household supplies","Fabricated metal products",607,"17","157","590","1371","2017",16629,0.0365024956401467
"103","332","43","Personal care products","Fabricated metal products",1942,"57","1018","2024","5042","2017",16629,0.116783931685609
"104","332","104","Professional and other services","Fabricated metal products",18,"1","5","6","29","2017",16629,0.00108244632870287
